SD-8-Bacteria-1	SD-4-Bacteria-1	HFD-7-Bacteria-1	HFD-3-Bacteria-1	HFD-4-Bacteria-1	HFD-1-Bacteria-1	HFD-5-Bacteria-1	HFD-9-Bacteria-1	SD-1-Bacteria-1	SD-6-Bacteria-1	HFD-8-Bacteria-1	SD-9-Bacteria-1	SD-7-Bacteria-1	HFD-2-Bacteria-1	HFD-6-Bacteria-1	SD-3-Bacteria-1	SD-5-Bacteria-1	SD-2-Bacteria-1
OTU_425	1	0	0	0	1	9	0	1	0	0	1	0	0	3	3	0	0	0
OTU_148	8	14	15	3	3	0	185	20	16	21	6	18	301	0	12	113	19	211
OTU_158	20	10	9	8	2	7	6	29	16	5	30	58	101	259	431	76	34	60
OTU_344	2	0	0	0	0	0	0	0	2	1	0	0	2	2	0	4	17	6
OTU_130	11	4	3	17	11	4	127	8	9	46	16	18	522	18	67	46	16	31
OTU_383	5	1	2	6	6	3	2	1	0	3	1	2	0	5	5	0	0	2
OTU_491	3	0	1	1	1	3	1	0	8	4	0	2	1	1	1	2	3	9
OTU_413	6	5	5	4	3	4	0	9	1	6	4	1	9	4	5	1	2	3
OTU_368	3	2	1	1	0	0	3	1	0	0	0	2	5	0	3	7	1	3
OTU_149	2	17	0	0	0	0	0	0	2	321	1	6	213	0	1	28	62	19
OTU_519	6	0	0	0	0	0	0	0	0	5	0	4	1	1	0	2	0	3
OTU_361	13	0	1	10	0	8	0	1	6	19	3	0	20	3	0	204	2	3
OTU_364	2	0	1	0	10	0	9	1	1	8	0	2	35	0	1	0	2	33
OTU_320	5	5	0	0	0	0	0	0	1	5	0	2	0	0	0	58	0	2
OTU_227	7	1	8	15	104	1	102	14	7	1	13	4	71	6	74	20	3	18
OTU_332	9	1	1	0	3	0	1	0	0	11	2	7	13	1	0	5	4	19
OTU_395	3	0	1	2	2	0	5	0	7	1	0	0	0	5	0	14	3	1
OTU_115	5	14	144	117	51	18	405	1	9	20	0	29	607	6	0	56	19	22
OTU_78	15	1	354	1	1799	0	417	0	4	19	0	13	81	0	0	1	51	1
OTU_116	23	2	14	1	92	0	174	5	14	121	4	23	645	15	50	79	26	115
OTU_258	15	4	0	0	0	0	0	0	0	0	0	4	0	0	0	57	0	22
OTU_256	38	1	0	0	0	0	0	0	7	4	0	17	11	25	0	24	21	21
OTU_308	18	0	4	0	0	0	0	22	1	1	2	11	0	0	15	0	1	3
